sys_caseid;sys_respid;sys_status;lfdnr#1;studio;S1;rotation;S2.1#1;S2.1#2;S2.1#3;S2.1#4;S2.1#5;S2.1#6;S3;S4#1;S4rec;S5#1;S5#2;S5#3;S5#4;S5#5;S5#6;S5#7;S5#8;S5#9;S5#10;S5#11;S5#12;S6#1;S6#2;S6#3;S6#4;S6#5;S6#6;S6#7;S6#8;S6#9;S6#10;S6#11;S6_o_11;S11;S14;S12;ADD1;ADD2;ADD3;ADD4;ADD5;ADD6.1#1;ADD6.1#2;ADD6.1#3;ADD6.1#4;ADD6.1#5;S7;S7_3;S8;S9;code;colour;prod;R5_15;R2_15;R7_15#1;R7_15#2;R7_15#3;R7_15_o_3;R3_15;R12_15;R27_15;R28_15;R29_15;R30_15;JAR1_15;JAR2_15;JAR3_15;JAR4_15;JAR5_15;ADD13_15;ADD11_15;ADD28_15;R18_15.1#1;R18_15.1#2;R18_15.1#3;R18_15.1#4;R18_15.1#5;R18_15.1#6;R18_15.1#7;R18_15.1#8;R18_15.1#9;R18_15.1#10;R18_15.1#11;R18_15.1#12;R18_15.1#13;R18_15.1#14;R18_15.1#15;R18_15.1#16;R19_15;R20_15;ADD59_15;ADD65_15;R5_10;R2_10;R7_10#1;R7_10#2;R7_10#3;R7_10_o_3;R3_10;R12_10;R27_10;R28_10;R29_10;R30_10;JAR1_10;JAR2_10;JAR3_10;JAR4_10;JAR5_10;ADD13_10;ADD11_10;ADD28_10;R18_10.1#1;R18_10.1#2;R18_10.1#3;R18_10.1#4;R18_10.1#5;R18_10.1#6;R18_10.1#7;R18_10.1#8;R18_10.1#9;R18_10.1#10;R18_10.1#11;R18_10.1#12;R18_10.1#13;R18_10.1#14;R18_10.1#15;R18_10.1#16;R19_10;R20_10;ADD59_10;ADD65_10;R5_13;R2_13;R7_13#1;R7_13#2;R7_13#3;R7_13_o_3;R3_13;R12_13;R27_13;R28_13;R29_13;R30_13;JAR1_13;JAR2_13;JAR3_13;JAR4_13;JAR5_13;ADD13_13;ADD11_13;ADD28_13;R18_13.1#1;R18_13.1#2;R18_13.1#3;R18_13.1#4;R18_13.1#5;R18_13.1#6;R18_13.1#7;R18_13.1#8;R18_13.1#9;R18_13.1#10;R18_13.1#11;R18_13.1#12;R18_13.1#13;R18_13.1#14;R18_13.1#15;R18_13.1#16;R19_13;R20_13;ADD59_13;ADD65_13;pr_eval#1;pr_eval#2;pr_eval#3;pr_eval_cmpl#1;pr_eval_cmpl#2;pr_eval_cmpl#3;p_R21;p_R21x;p_R25;p_R26;p_R27;tporder;loop_inter;numprod;weiter;wrongcell;upload_15;date_prod15_start;time_prod15_start;upload_10;date_prod10_start;time_prod10_start;upload_13;date_prod13_start;time_prod13_start;arot#1;arot#2;arot#3;sys_text1;sys_ext1;sys_ext2;sys_ext3;sys_ext4;sys_ext5;sys_ext6;sys_ext7;sys_ext8;sys_ext9;sys_useragent;sys_duration;sys_startdate;sys_starttime;sys_enddate;sys_endtime;sys_screen_x;sys_screen_y;sys_weight;sys_client;interviewer
43;1001;2;1001;1;1;6;1;1;1;1;1;1;2;61;2;1;5;6;8;10;12;;;;;;;1;;;;;;;;;;;;1;14;1;1;1;4;4;2;3;3;3;3;3;1;1;1;1;;;1;1;;1;;;;J'ai mis la crème a tester ensuite ma crème matifiante ensuite ma crème teinte et ma poudre libre en dernier;5;4;4;Elle est moins épaisse elle s étalé bien pénètre vite pas d odeur pas grasse et sèche vite;Rien du tout;3;3;3;3;3;3;4;5;5;5;4;3;5;3;4;4;5;5;4;4;4;5;4;4;2;;3;;1;;1;;;;J'ai mis la crème tester puis une crème matifiante puis mon fond de teint et en dernier ma poudre teinte;2;2;1;Rien ;Texture trop épaisse trop grasse trop difficile à étaler et pas d odeur agreable;5;5;5;5;1;1;2;1;1;2;2;2;2;1;2;2;1;1;3;2;3;2;2;2;2;;3;;1;;1;;;;J'ai utiliser la crème ensuite ma crème matifiante puis fond de teint poudre libre;5;3;3;Facile à étaler pas d odeur ;Un peu trop grasse c est tout;4;4;3;4;3;1;4;4;4;4;3;3;4;3;3;3;4;3;4;3;3;4;3;3;2;;3;;3;2;1;3;2;1;3;1;Ben la première trop épaisse la deuxième difficile à étaler et la troisième pas trop grasse et pénètre bien;La. Couleur de la crème et pas d odeur;Moins gras pénètre facilement;1;2;2;2;;1;20231111;929;1;20231104;1034;1;20231028;1420;3;2;1;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 10, K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36;2158248;20231017;110925;20231111;94014;;;;2;
22;1002;2;1002;1;1;1;1;1;1;1;1;1;2;61;2;1;2;5;6;7;10;12;;;;;;1;;;;;;;;;;;;1;14;1;1;1;4;4;1;3;3;1;2;2;1;1;1;1;;;3;1;;1;2;;;Le matin après avoir fait ma toilette et le soir une fois démaquiller avec mon lait j ai appliqué ma crème ;5;4;4;La texture de la crème et douce pas grasse pénétre rapidement bon parfum et colle pas ;Rien ;3;3;3;3;3;3;5;6;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;2;;3;;1;;1;2;;;J ai utilisé la crème le matin après m avoir nettoyer à l eau claire et le soir m avoir démaquiller ;4;3;3;La couleur de la crème et facile à appliquer ;Un peu grasse à l applications ;3;4;3;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;2;;3;;1;;1;2;;;Le matin une fois mon visage nettoyer et le soir après mettre démaquiller ;4;3;2;La douceur de la crème à l applications ;Un peu grasse et tire un peu sur la peau ;3;4;3;4;3;3;4;4;3;4;4;4;3;3;4;3;3;2;4;3;4;4;3;3;1;Après l applications sa piquer un peu ;3;;1;2;3;1;2;3;1;1;Les parfums sont pas les mêmes et l onctuosité aussi ;La couleur et idem ;Pénètrent très bien pas grasse ;1;2;2;2;;1;20231028;2010;2;20231105;1543;1;20231112;1120;1;2;3;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 10, K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36;2490631;20231014;163657;20231112;112728;;;;2;
41;1003;2;1003;1;1;2;1;1;1;1;1;1;2;56;2;7;5;6;10;;;;;;;;;3;1;;;;;;;;;;;1;14;1;2;1;3;4;2;3;3;3;3;1;1;1;1;1;;;2;1;;1;;;;Crème puis fond de teinr;4;3;3;Texture non grasse pas trop parfumee;Rien;1;3;3;3;3;2;5;5;4;4;3;3;4;3;3;3;4;4;4;4;4;4;3;4;2;;3;;3;J ai préféré le 1er ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;Crème et fond  de teint;2;2;1;Texture collante difficile à appliquer j ai préféré de loin la 1ere;Texture collante ;4;1;4;4;3;2;4;1;2;2;3;3;2;3;2;2;4;2;3;3;2;2;3;3;2;;3;;1;3;2;1;3;;1;1;La texture des 2eme et3eme produit était plus collante moins agréable et plus difficile à etaler;Odeur agréable ;Texture très agreable non collante et qui me rafraîchit la peau;1;2;2;2;;1;20231028;2045;1;20231111;2324;1;20231104;1950;1;3;2;;63;;;;;;;;;Mozilla/5.0 (iPhone, CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1;2210003;20231017;103431;20231111;232755;;;;2;
6;1004;2;1004;1;1;3;1;1;1;1;1;1;2;40;1;1;5;6;8;7;;;;;;;;1;;;;;;;;;;;;1;14;1;2;1;3;4;1;2;2;4;3;2;1;1;1;1;;;3;1;;1;2;3;Matin et soir;Sur le visage et le cou;4;3;3;L odeur et sa texture;Une sensation de picotement le première jours;3;3;3;3;3;2;5;5;4;3;4;4;4;3;4;3;5;4;4;4;4;4;3;4;2;;1;2;1;;1;2;;;J'utilise un anticerne en premier et ensuite j'utilise la crème. ;5;3;4;L'odeur et sa texture agréable ;Ne se mélange pas avec un autre produit sinon ça laisse des traces et crée un surplus ;3;3;3;2;3;2;5;5;4;4;4;3;4;4;4;4;5;5;3;4;2;4;3;3;2;;2;2;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;3;2;1;;1;2;Je préfère la légèreté et l odeur du premier ;La texture;Son odeur et sa consistance;1;2;2;2;;1;20231105;1821;1;20231028;1645;2;20231112;1713;2;1;3;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 13, SAMSUNG SM-G781B) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/23.0 Chrome/115.0.0.0 Mobile Safari/537.36;2544097;20231014;73410;20231112;171547;;;;2;
5;1005;2;1005;1;1;4;1;1;1;1;1;1;2;51;1;1;3;5;8;6;;;;;;;;1;;;;;;;;;;;;1;14;1;2;1;4;4;1;3;3;4;3;3;1;1;1;1;;;1;1;;1;;;;Je l'ai appliqué après avoir mis mon sérum puis avant de mettre mon fond de teint ;4;3;3;Il est très hydratant, il rend la peau très douce et souple ;Il est assez riche et il faut ne pas en mettre trop pour ne pas avoir un film très gras.;4;3;4;3;4;1;3;3;4;5;3;3;5;4;4;4;2;3;5;4;4;5;3;3;2;;2;1;1;;1;;;;J'ai mis un sérum puis j ai appliqué la crème et ensuite j ai mis un fond de teint.;5;3;4;Il est hydratant et raffermissant. Il pénètre rapidement et ne laisse pas de film gras.;L aspect anti âge est assez léger ;3;3;3;3;4;3;4;5;5;4;4;3;5;4;3;4;4;5;4;4;5;4;4;4;2;;3;;1;;1;;;;J'ai utilisé avant un sérum puis j ai appliqué la crème et ensuite mon fond de teint.;4;3;3;L odeur est très agréable  la texture est très confortable.;La texture est un peu collante si on en met un peu trop. Elle est un peu grasse et fait parfois des peluches.;4;3;3;4;4;2;5;4;4;4;3;3;5;3;3;4;2;3;4;4;4;4;3;3;2;;2;3;2;3;1;2;3;1;1;2;La texture est très différente pour les 3 produits. Les dernier est trop gras. La senteur est également assez présente sur le dernier. L efficacité anti âge est similaire pour les 3 en général .;Ils répondent à l aspect anti âge et rendent la peau très douce et souple.;Je le trouve plus facile à appliquer et il me semble plus 'naturel'.;1;2;2;2;;1;20231110;1807;2;20231027;1734;1;20231103;1735;2;3;1;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 11, SAMSUNG SM-A405FN) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/23.0 Chrome/115.0.0.0 Mobile Safari/537.36;2446401;20231013;115048;20231110;182410;;;;2;
7;1006;2;1006;1;1;5;1;1;1;1;1;1;2;69;2;1;5;3;6;7;8;;;;;;;1;2;;;;;;;;;;;1;14;1;2;1;4;4;2;4;4;2;4;3;1;1;1;1;;;2;1;;1;;;;Aucun produit. ;5;3;4;Il pénétré vite, ne laisse pas de gras sur la peau, pas de parfum sur la peau.;Rien;1;3;3;3;3;3;5;5;4;5;4;4;5;4;4;4;4;5;4;4;4;4;3;3;2;;3;;1;;1;;;;Aucun ;5;3;4;Il ne laisse pas de film gras ne colle pas, laisse une fraîcheur sur la peau, ne laisse pas de parfum.;0n doit bien masser le visage pour avoir une belle peau. ;3;3;3;4;3;3;5;5;5;4;4;4;4;4;4;5;5;3;4;4;5;4;4;5;2;;3;;1;;1;;;;une creme agreabe pas collante qui attenue  les ridule et laisse la peau douce;5;4;4;plus fluide et penetre mieux;rien;3;3;3;3;3;2;5;5;4;3;4;4;3;4;3;4;4;3;4;4;4;4;3;4;2;;3;;3;1;2;3;1;2;2;1;Bleu il est plutôt hydratant  Rouge à un effet tenseur ,il repulpe la peau  Jaune donne de la luminosité à la peau, il lui redonne de l'éclat diminue les rides .;Ils sont tous les trois super hydratant et retend la peau. ;J'étais plus à laisse à l'application et aucune gêne n'a été ressenti dans la journée. ;1;2;2;2;;2;20231104;1411;1;20231111;2102;1;20231030;957;3;1;2;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 10, K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36;2471185;20231014;74812;20231111;211438;;;;2;
44;1007;2;1007;1;1;6;1;1;1;1;1;1;2;48;1;5;6;1;10;;;;;;;;;1;;;;;;;;;;;;1;14;1;1;1;4;4;1;2;3;4;2;2;1;1;1;1;;;1;1;;1;;;;Je n ai pas utiliser d autre produit autre que mon savon  Ensuite j ai appliquer la crème par touche sur mon visage et étaler doucement ;5;3;4;Elle pénétre facilement  Ne laisse pas de film gras ni collant sur la peau  Parfum agréable léger et qui sur un petit moment  Visage repulpe et ridules moins visible ;L aspect gras qd on ouvre le pot ;3;3;3;3;3;3;5;5;4;3;4;4;4;4;4;4;4;5;3;4;4;4;4;4;2;;3;;1;;1;;;;Sans autre produits autre que du savon  Je l ai appliquer part touche et ensuite en mini massage sur tt le visage ;5;3;3;Il s étale facilement  La couleur  L odeur de shampoing  Pénétré bien  Donne du tonus à la peau  Peau moins terne ;Odeur subtile qui s estompé vite  Colle un peu ;4;4;3;4;2;2;5;5;4;3;4;4;4;4;5;4;4;5;4;4;3;3;4;4;2;;3;;1;;1;;;;J ai déposer de petites taches sur le visage et étaler, je n ai rien utiliser d autre avec;5;3;3;L odeur de frais de rose  La couleur légère rosee  Facile à étaler  Hydrate bien et repulpe la peau  ;Elle colle légèrement sur le visage;4;4;3;4;2;2;6;5;4;2;4;4;4;5;4;4;2;4;3;4;4;4;4;3;2;;3;;3;2;1;3;2;1;3;1;La rapidité de penetration du rouge  La couleur du bleu  J ai pas trouver trop de différence au niveau des trois je trouve qu elles sont aussi efficace l une ou l autre ;Une peau repulpee  Un teint frais et lumineux  Un sensation de Peau bien Hydratee;Son odeur qui dur plus longtemps  Ne laisse pas de film collant sur la peau ;1;2;2;2;;7;20231112;927;1;20231106;933;2;20231028;1011;3;2;1;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 10, K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36;2244392;20231017;111420;20231112;94053;;;;2;
23;1008;2;1008;1;1;1;1;1;1;1;1;1;2;45;1;1;5;6;10;;;;;;;;;1;;;;;;;;;;;;1;14;1;2;1;4;3;1;2;2;1;1;1;1;1;1;1;;;3;1;;1;;;;L'avez mon cirage à l'eau fraîche, bien séché et ensuite j'ai appliquer ma crème ;4;3;3;LA CREME NEST PAS grâce et pénétré directement  et douce ;Manque de parfum ;3;3;3;3;1;3;2;5;5;5;4;4;5;4;5;5;5;5;4;4;5;5;4;4;2;;3;;4;Ras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;Après ma toilette de mon visage j'applique la crème ;6;4;4;La texture de la crème,  bonne penetration, hydrate bien le visage, reste radieuse toute la journée ;Ras;3;3;3;3;3;3;6;6;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;2;;3;;1;2;3;1;3;;3;3;Plus parfumé que les précédentes, pénétré mieux et ma peau me semble plus hydraté;Les 3 hydrates bien ;Pour le parfum meilleur senteur ;1;2;2;2;;1;20231028;1702;1;20231104;1015;1;20231111;1728;1;2;3;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 12, SAMSUNG SM-G975F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/23.0 Chrome/115.0.0.0 Mobile Safari/537.36;2425014;20231014;165931;20231111;173626;;;;2;
42;1009;2;1009;1;1;2;1;1;1;1;1;1;2;43;1;1;5;7;9;8;12;3;;;;;;1;9;8;;;;;;;;;;1;14;2;2;1;3;5;1;2;1;1;2;1;1;1;1;1;;;2;1;;1;;;;Seul en crème de jour avant la terracota ;6;4;4;Odeur, et ne laisse pas la peau grasse ;Odeur très agréable mais un peu forte ;3;3;3;3;4;2;5;5;5;4;3;3;5;4;3;4;5;5;4;4;5;4;4;4;2;;3;;1;;1;;;;Seule, juste de la Teracota au dessus ;5;3;3;Ne colle pas, texture agréable ;Odeur assez forte;3;3;3;3;4;2;4;5;5;4;3;3;5;4;4;4;5;5;4;4;5;4;4;4;2;;3;;1;;1;;;;Très agréable ;5;4;4;Texture sympa;Odeur agréable mais un peu forte;3;3;3;3;4;2;4;5;4;4;4;3;5;4;4;4;4;5;4;5;3;4;4;4;2;;3;;1;3;2;1;3;2;1;1;J’ai dans un ressenti globale préfère le premier prof si je l’ai apprécié tous;Une bonne textuee;C’est un ressenti j’ai préféré ce produit, il m’a semblé plus approprié pour moi;1;2;2;2;;1;20231028;1009;2;20231113;917;1;20231104;1620;1;3;2;;63;;;;;;;;;Mozilla/5.0 (iPhone, CPU iPhone OS 17_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1;2331376;20231017;105411;20231113;93028;;;;2;
11;1010;2;1010;1;1;3;1;1;1;1;1;1;2;48;1;1;3;6;5;7;8;;;;;;;1;;;;;;;;;;;;1;14;2;2;1;3;3;2;3;3;4;2;2;1;1;1;1;;;3;1;;1;;;;Je n'ai utilisé que ce produit le matin, sans rien avant ni après.  Juste la peau nettoyée à l'eau claire la veille au soir;2;2;1;La texture pas trop liquide, le parfum très discret;Aucune hydratation de la peau, elle est même plus sèche ;3;3;3;3;2;3;3;6;1;2;1;1;4;1;3;1;3;5;1;1;5;2;1;4;1;Juste après l'application,  la peau pique;3;;3;J'ai attrapé des plaques rouges comme c'est le seul produit utilisé j'ai préféré ne pas prendre de risque ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;Rien d'autre,  tel quel le matin au lever;5;4;5;Bien couvrant, protecteur, nourrissant;Un peu long à secher;4;4;3;5;3;1;5;5;5;5;4;4;5;5;5;4;2;5;4;5;4;5;5;5;2;;2;2;2;1;3;1;3;;3;3;Le premier piquait, brûlait la peau. Le second semblait n'avoir aucun principe actif, le dernier très bien, ma peau nourrit;La texture;Efficace des l'application agréable, repulpant;1;2;2;2;;1;20231104;1041;1;20231028;1346;1;20231111;1028;2;1;3;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 10, K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36;2429713;20231014;83659;20231111;103213;;;;2;
8;1011;2;1011;1;1;4;1;1;1;1;1;1;2;54;1;1;3;5;6;8;;;;;;;;1;;;;;;;;;;;;1;14;2;1;1;4;4;2;3;4;3;2;2;1;1;1;1;;;1;1;;1;2;;;Je n’ai utilisé que ce produit donc lavage du visage , séchage et application de la crème ;6;4;5;Application douce sur le visage et agréable odeur;Rien;3;3;3;3;3;3;6;6;5;5;4;3;5;5;5;5;5;5;5;5;5;5;5;5;2;;3;;1;;1;2;;;La age du visage, ensuite bien essuyer et j’ai appliqué la pommade sur mon vusage;5;3;3;Agréable sur la Peau bonne odeur;Couleur pas assez blanche;4;4;4;3;3;2;5;5;4;4;3;3;4;4;4;4;3;4;3;3;4;4;4;3;2;;3;;1;;1;2;;;Lavage du visage ensuite séchage et après j’ai mis de la pommade sur mon visage ;4;2;2;Agréable odeur;Produit un peu trop collant sur le visage ;5;5;5;5;3;1;6;3;1;2;1;2;2;2;2;2;2;1;2;2;4;2;1;2;2;;3;;2;3;1;2;3;1;3;1;Le rouge est celui qui s’adapte le mieux sur mon visage car j’y retrouve toute les sensations d’une bonne marque de crème ;Ils étaient trop collant au visage ;J’ai trouvé qu’il était conforme à mes attentes ;1;2;2;2;;1;20231111;1325;1;20231029;1231;1;20231104;1211;2;3;1;;63;;;;;;;;;Mozilla/5.0 (Macintosh, Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15;2443050;20231014;75504;20231111;133234;;;;2;
9;1012;2;1012;1;1;5;1;1;1;1;1;1;2;62;2;1;3;5;6;7;;;;;;;;1;;;;;;;;;;;;1;14;2;2;1;3;3;2;4;4;3;3;2;1;1;1;1;;;2;1;;1;2;;;Rien ;5;3;4;Blanche épaisse non grasse fluide ;Rien ;3;3;3;3;3;3;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;;3;;1;;1;2;;;Rien d'autre ;6;4;5;Épaisse Légère Blanche Odeur agréable Non grasse ;Rirn;3;3;3;3;3;3;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;;3;;1;;1;;;;Rien aucun autre produit ;5;3;4;Fluide légère fluide blanche épaisse ;Rien;3;3;3;3;3;3;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;;3;;3;1;2;3;1;2;3;2;La texture ainsi que l'odeur ;Sa couleur blanche ;Il y a une odeur agréable ;1;2;2;2;;1;20231106;759;2;20231113;652;1;20231030;1232;3;1;2;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 10, K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36;2590979;20231014;81242;20231113;65542;;;;2;
46;1013;2;1013;1;1;6;1;1;1;1;1;1;2;56;2;1;5;6;8;10;;;;;;;;1;;;;;;;;;;;;1;14;1;2;1;4;4;1;2;2;3;2;2;1;1;1;1;;;1;1;;1;;;;J'ai nettoyé ma peau avec un savon puis avec de l'eau micellaire puis j'ai ajouté la crème de jour ;5;4;3;Pénètre vite, odeur très légère et après l'application la peau ne colle pas;Rien ;3;3;3;3;3;2;5;6;4;4;4;3;5;4;4;5;4;5;4;4;5;4;3;3;2;;3;;1;;1;;;;Nettoyage de la peau, puis j'applique une eau micellaire puis un sérum pour les yeux puis après la crème de jour;5;3;3;J'aime bien quand on l applique parce qu'elle est blanche jusqu'à pénétration douce et crémeuse pas trop parfumé;Reste un peu trop longtemps collante;4;3;3;4;3;2;4;5;4;4;4;4;4;4;4;4;3;4;4;4;3;4;4;4;1;Aucune gêne ;3;;1;;1;;;;J'utilise un savon nettoyant puis une nettoyante j'applique une crème pour les yeux puis après la crème de jour;4;3;3;Odeur pas très forte onctueuse crémeuse belle couleur un peu crème pénètre assez vite;Laisse la peau un peu collante;4;3;3;4;2;2;4;5;4;3;4;3;4;3;4;4;3;4;3;4;4;3;3;4;2;;3;;3;2;1;3;2;1;3;1;La première la peau reste très collante la deuxième aussi mais par contre la deuxième ce qui est bien c'est quand on applique elle est blanche donc on voit si on l'a bien appliqué et la troisième je préfère parce que elle ne colle pas du tout la peau;L'odeur des trois produits et la texture des trois produits;Parce qu'elle pénètre très vite et ne laisse pas la peau collante;1;2;2;2;;1;20231111;1650;2;20231103;2134;3;20231028;2132;3;2;1;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 10, K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36;2184055;20231017;111714;20231111;165809;;;;2;
49;1014;2;1014;1;1;1;1;1;1;1;1;1;2;55;1;1;3;5;6;10;12;;;;;;;1;;;;;;;;;;;;1;14;1;2;1;4;4;1;2;3;2;1;1;1;1;1;1;;;3;1;;1;;;;J’ai utilisé  que se produit ;5;3;5;La texture  très  agreable;Pas beaucoup  de parfum;3;3;3;3;2;3;3;6;4;4;3;3;4;4;4;4;4;5;4;4;4;4;4;4;2;;3;;1;;1;;;;J'ai  utilisé  seulement  le produit  jaune ;5;4;5;Sa texture  et donne une peau douce ;J’aimerai un peu plus  de parfum ;1;3;3;3;2;2;3;6;4;4;4;4;4;4;4;5;4;5;4;4;5;4;4;4;2;;3;;1;;1;;;;J’ai utilisé  que se produit ;5;4;5;La texture  et son parfum ;Pas de points  négatifs ;1;3;3;3;3;2;6;6;4;5;4;4;5;4;4;5;4;5;5;4;5;5;4;4;2;;3;;1;2;3;1;2;3;3;3;, es 3 j’aime  la texture mais le bleu il a le parfum que j’aime  en plus mais dans l’ensemble  les 3 vont très bien  à appliquer ;La texture ;Pour son parfum;1;2;2;2;;1;20231028;1436;1;20231104;1306;1;20231111;1137;1;2;3;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 10, K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36;2147812;20231017;160821;20231111;114514;;;;2;
45;1015;2;1015;1;1;2;1;1;1;1;1;1;2;40;1;5;3;2;12;;;;;;;;;1;7;;;;;;;;;;;1;14;2;2;1;3;4;3;1;1;2;1;1;1;1;1;1;;;2;1;;1;;;;Après le nettoyage du visage ;4;3;3;L'odeur ;La texture epaisse ;4;3;4;4;3;3;5;3;4;3;3;3;3;3;3;3;2;4;4;3;3;4;3;3;2;;3;;1;;1;;;;Après un nettoyant du visage;5;3;3;Odeur texture;.;4;3;3;3;3;2;5;5;4;3;3;3;3;3;4;4;3;4;4;4;3;4;3;4;1;Rongeur à l'application ;3;;1;;1;2;;;J ai nettoyé ma peau , puis appliqué la crème ;4;3;3;J apprécié la texture , l odeur . Il laisse ma peau lisse et hydraté ;Il tiens pas toute la journée,  il faudrait en remettre;3;3;4;2;2;2;5;5;5;4;3;3;4;2;5;4;5;4;4;4;5;4;2;4;2;;2;3;1;3;2;1;3;2;3;2;Odeur ,la texture;Non collant et bonne hydratation;Odeur et texture meilleur que les précédents ;1;2;2;2;;2;20231029;1830;1;20231113;853;3;20231106;951;1;3;2;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 10, K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Mobile Safari/537.36;2328159;20231017;111531;20231113;85811;;;;2;
31;1016;2;1016;1;1;3;1;1;1;1;1;1;2;66;2;1;3;5;7;6;8;10;11;;;;;1;;;;;;;;;;;;1;14;2;2;1;4;4;1;2;3;4;3;3;1;1;1;1;;;3;1;;1;;;;Eau micellaire pour nettoyer mon visage la crème et mon sérum contour des yeux et ensuite je me suis maquillée ;4;3;3;La texture est fluide permet de s étaler et de pénétrez rapidement ds la peau son odeur assez légère et son efficacité concernant hydravion de ma peau;Elle est trop brillante sur la peau et collante et elle n atténue rien pas de ridules ou traits d expression;4;3;3;3;3;2;4;4;4;3;2;1;3;2;3;2;4;5;2;3;4;3;2;2;1;Un film collant et brillant sur la peau;3;;1;;1;;;;J ai rincé mon visage à l eau micellaire puis mis la crème sur mon visage et cou puis mon sérum contour des yeux;5;3;4;Sa texture assez épaisse qui agit en profondeur sur hydratation de la peau non collante ne laisse pas la peau brillante et atténue mes ridules sur le front et le menton;L odeur est agréable à sentir ds le peau mais ne reste pas suffisamment sur la peau et la consistance est un peu trop épaisse on doit s attarder sur le massage pour qu'elle rentre ds la peau;3;3;4;4;3;3;4;4;5;5;5;2;4;3;5;5;4;3;4;5;5;5;3;4;2;;3;;1;;1;;;;Eau micellaire pur nettoyer mon visage sérum contour des yeux puis étaler la crème et ensuite je me maquillepoudre terracota mascara eye liner;1;1;1;Rien;Consistance trop fluide collante grasse et brillance odeur trop lourde trop fleuri et une crème qui a du mal à pénétrez ds la peau et qui ne permet pas de se maquiller derrière fait des taches plaque quand je mets ma terracotta;5;5;1;5;5;1;1;1;3;2;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;Tiraillement un film épaisse gras qui tiraillé la peau de mon visage et boulotte en fin de journée ;1;1;2;1;3;2;1;3;1;2;La texture de la jaune plus épaisse hydrate tte la journée donne une peau douce un teint lumineux sans film sur la peau permet de se maquiller facilement sans bouloches peluches et un rendu plus lisse de la peau atténue les ridules une odeur neutre qui permet de sentir son parfum sans gêne tte la journée;Aucune choses en commun;Sa consistance plus épaisse soyeuse délicate à masser hydravion plus longue une odeur neutre permet de se maquiller facilement sans peluches non collante non grasse efficace sur les ridules et rides d expression une peau lumineuse qui respire la santé paraît plus jeune;1;2;2;2;;2;20231105;1128;2;20231029;1010;1;20231111;1104;2;1;3;;63;;;;;;;;;Mozilla/5.0 (Linux, Android 12, SAMSUNG SM-A217F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/19.0 Chrome/102.0.5005.125 Mobile Safari/537.36;2258209;20231016;90155;20231111;111844;;;;2;
